sub,name,band,year,refs,same_sub_share,same_band_share,other_band_share,mean_age_same_sub
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1990,4,0.25,0.25,0.5,0.0
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1991,7,0.0,0.714,0.286,
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1992,2,0.5,0.5,0.0,2.0
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1993,2,0.5,0.5,0.0,2.0
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1994,18,0.333,0.5,0.167,2.5
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1995,5,0.4,0.4,0.2,4.0
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1996,18,0.333,0.389,0.278,2.0
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1997,27,0.667,0.222,0.111,2.78
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1998,51,0.451,0.314,0.235,2.13
0,3D Pointing & VR Interaction,Input & Interaction Techniques,1999,40,0.6,0.275,0.125,2.08
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2000,33,0.818,0.091,0.091,3.04
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2001,26,0.385,0.308,0.308,3.2
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2002,40,0.325,0.275,0.4,4.62
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2003,48,0.354,0.417,0.229,3.94
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2004,24,0.5,0.25,0.25,5.75
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2005,80,0.438,0.275,0.287,4.91
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2006,91,0.462,0.286,0.253,6.88
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2007,70,0.457,0.371,0.171,8.16
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2008,94,0.351,0.479,0.17,6.36
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2009,118,0.458,0.314,0.229,5.67
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2010,159,0.434,0.346,0.22,6.52
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2011,190,0.405,0.411,0.184,6.03
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2012,110,0.545,0.182,0.273,6.53
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2013,135,0.519,0.244,0.237,6.74
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2014,187,0.54,0.257,0.203,5.59
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2015,227,0.463,0.264,0.273,8.24
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2016,213,0.446,0.263,0.291,7.2
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2017,252,0.484,0.155,0.361,8.15
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2018,196,0.577,0.189,0.235,9.88
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2019,397,0.491,0.277,0.232,9.37
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2020,250,0.444,0.232,0.324,7.35
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2021,610,0.431,0.228,0.341,7.38
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2022,349,0.453,0.178,0.37,6.19
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2023,732,0.455,0.148,0.398,7.36
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2024,465,0.516,0.105,0.378,7.25
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2025,813,0.416,0.183,0.401,8.98
0,3D Pointing & VR Interaction,Input & Interaction Techniques,2026,477,0.436,0.149,0.415,7.38
1,RF & Radar Sensing,Input & Interaction Techniques,1997,1,0.0,1.0,0.0,
1,RF & Radar Sensing,Input & Interaction Techniques,2001,1,1.0,0.0,0.0,6.0
1,RF & Radar Sensing,Input & Interaction Techniques,2003,1,1.0,0.0,0.0,6.0
1,RF & Radar Sensing,Input & Interaction Techniques,2009,2,0.5,0.0,0.5,12.0
1,RF & Radar Sensing,Input & Interaction Techniques,2010,4,0.0,0.25,0.75,
1,RF & Radar Sensing,Input & Interaction Techniques,2011,13,0.308,0.385,0.308,8.0
1,RF & Radar Sensing,Input & Interaction Techniques,2012,6,0.333,0.333,0.333,7.0
1,RF & Radar Sensing,Input & Interaction Techniques,2013,9,0.556,0.111,0.333,5.2
1,RF & Radar Sensing,Input & Interaction Techniques,2014,23,0.391,0.13,0.478,3.0
1,RF & Radar Sensing,Input & Interaction Techniques,2015,18,0.278,0.222,0.5,2.6
1,RF & Radar Sensing,Input & Interaction Techniques,2016,81,0.333,0.444,0.222,3.07
1,RF & Radar Sensing,Input & Interaction Techniques,2017,143,0.42,0.28,0.301,2.33
1,RF & Radar Sensing,Input & Interaction Techniques,2018,239,0.498,0.331,0.172,2.31
1,RF & Radar Sensing,Input & Interaction Techniques,2019,338,0.553,0.207,0.24,2.48
1,RF & Radar Sensing,Input & Interaction Techniques,2020,353,0.586,0.269,0.144,2.6
1,RF & Radar Sensing,Input & Interaction Techniques,2021,565,0.618,0.186,0.196,3.1
1,RF & Radar Sensing,Input & Interaction Techniques,2022,569,0.682,0.116,0.202,3.16
1,RF & Radar Sensing,Input & Interaction Techniques,2023,775,0.672,0.169,0.159,3.33
1,RF & Radar Sensing,Input & Interaction Techniques,2024,744,0.738,0.14,0.122,3.74
1,RF & Radar Sensing,Input & Interaction Techniques,2025,839,0.794,0.101,0.105,3.89
1,RF & Radar Sensing,Input & Interaction Techniques,2026,431,0.578,0.162,0.26,4.04
2,Wearable Activity Recognition,Input & Interaction Techniques,2003,5,0.2,0.4,0.4,1.0
2,Wearable Activity Recognition,Input & Interaction Techniques,2004,1,0.0,0.0,1.0,
2,Wearable Activity Recognition,Input & Interaction Techniques,2005,3,0.333,0.0,0.667,3.0
2,Wearable Activity Recognition,Input & Interaction Techniques,2006,17,0.353,0.0,0.647,2.0
2,Wearable Activity Recognition,Input & Interaction Techniques,2007,20,0.55,0.0,0.45,1.64
2,Wearable Activity Recognition,Input & Interaction Techniques,2008,31,0.613,0.032,0.355,2.53
2,Wearable Activity Recognition,Input & Interaction Techniques,2009,44,0.614,0.045,0.341,1.81
2,Wearable Activity Recognition,Input & Interaction Techniques,2010,40,0.7,0.125,0.175,2.79
2,Wearable Activity Recognition,Input & Interaction Techniques,2011,32,0.438,0.25,0.312,2.86
2,Wearable Activity Recognition,Input & Interaction Techniques,2012,61,0.639,0.049,0.311,3.62
2,Wearable Activity Recognition,Input & Interaction Techniques,2013,60,0.55,0.167,0.283,3.97
2,Wearable Activity Recognition,Input & Interaction Techniques,2014,34,0.529,0.118,0.353,3.94
2,Wearable Activity Recognition,Input & Interaction Techniques,2015,141,0.511,0.099,0.39,3.82
2,Wearable Activity Recognition,Input & Interaction Techniques,2016,84,0.69,0.083,0.226,3.33
2,Wearable Activity Recognition,Input & Interaction Techniques,2017,116,0.526,0.086,0.388,4.98
2,Wearable Activity Recognition,Input & Interaction Techniques,2018,234,0.483,0.124,0.393,4.3
2,Wearable Activity Recognition,Input & Interaction Techniques,2019,210,0.51,0.2,0.29,4.65
2,Wearable Activity Recognition,Input & Interaction Techniques,2020,176,0.659,0.097,0.244,4.48
2,Wearable Activity Recognition,Input & Interaction Techniques,2021,212,0.604,0.208,0.189,4.31
2,Wearable Activity Recognition,Input & Interaction Techniques,2022,328,0.582,0.168,0.25,4.72
2,Wearable Activity Recognition,Input & Interaction Techniques,2023,392,0.518,0.23,0.253,4.43
2,Wearable Activity Recognition,Input & Interaction Techniques,2024,438,0.589,0.183,0.228,4.6
2,Wearable Activity Recognition,Input & Interaction Techniques,2025,486,0.605,0.13,0.265,4.7
2,Wearable Activity Recognition,Input & Interaction Techniques,2026,128,0.602,0.117,0.281,4.16
3,Pointing & Target Selection,Input & Interaction Techniques,1983,1,1.0,0.0,0.0,1.0
3,Pointing & Target Selection,Input & Interaction Techniques,1985,1,1.0,0.0,0.0,3.0
3,Pointing & Target Selection,Input & Interaction Techniques,1986,1,1.0,0.0,0.0,4.0
3,Pointing & Target Selection,Input & Interaction Techniques,1988,4,0.75,0.0,0.25,4.0
3,Pointing & Target Selection,Input & Interaction Techniques,1989,2,0.5,0.0,0.5,7.0
3,Pointing & Target Selection,Input & Interaction Techniques,1991,2,0.5,0.0,0.5,1.0
3,Pointing & Target Selection,Input & Interaction Techniques,1992,6,0.667,0.167,0.167,1.25
3,Pointing & Target Selection,Input & Interaction Techniques,1994,8,0.875,0.125,0.0,5.71
3,Pointing & Target Selection,Input & Interaction Techniques,1995,11,0.364,0.182,0.455,5.25
3,Pointing & Target Selection,Input & Interaction Techniques,1996,1,1.0,0.0,0.0,5.0
3,Pointing & Target Selection,Input & Interaction Techniques,1997,5,0.6,0.2,0.2,3.33
3,Pointing & Target Selection,Input & Interaction Techniques,1998,17,0.412,0.353,0.235,4.71
3,Pointing & Target Selection,Input & Interaction Techniques,1999,15,0.4,0.2,0.4,4.5
3,Pointing & Target Selection,Input & Interaction Techniques,2000,12,0.667,0.333,0.0,6.5
3,Pointing & Target Selection,Input & Interaction Techniques,2001,22,0.591,0.227,0.182,7.23
3,Pointing & Target Selection,Input & Interaction Techniques,2002,12,0.417,0.5,0.083,8.0
3,Pointing & Target Selection,Input & Interaction Techniques,2003,22,0.636,0.273,0.091,6.0
3,Pointing & Target Selection,Input & Interaction Techniques,2004,42,0.452,0.238,0.31,6.32
3,Pointing & Target Selection,Input & Interaction Techniques,2005,86,0.558,0.186,0.256,5.12
3,Pointing & Target Selection,Input & Interaction Techniques,2006,39,0.744,0.051,0.205,5.38
3,Pointing & Target Selection,Input & Interaction Techniques,2007,130,0.577,0.292,0.131,7.33
3,Pointing & Target Selection,Input & Interaction Techniques,2008,165,0.582,0.291,0.127,6.15
3,Pointing & Target Selection,Input & Interaction Techniques,2009,106,0.594,0.292,0.113,7.08
3,Pointing & Target Selection,Input & Interaction Techniques,2010,116,0.767,0.129,0.103,7.19
3,Pointing & Target Selection,Input & Interaction Techniques,2011,152,0.618,0.25,0.132,6.34
3,Pointing & Target Selection,Input & Interaction Techniques,2012,130,0.531,0.162,0.308,7.9
3,Pointing & Target Selection,Input & Interaction Techniques,2013,171,0.591,0.205,0.205,8.44
3,Pointing & Target Selection,Input & Interaction Techniques,2014,207,0.551,0.242,0.208,7.47
3,Pointing & Target Selection,Input & Interaction Techniques,2015,104,0.663,0.135,0.202,6.74
3,Pointing & Target Selection,Input & Interaction Techniques,2016,164,0.628,0.207,0.165,7.47
3,Pointing & Target Selection,Input & Interaction Techniques,2017,174,0.632,0.167,0.201,6.42
3,Pointing & Target Selection,Input & Interaction Techniques,2018,270,0.652,0.193,0.156,8.98
3,Pointing & Target Selection,Input & Interaction Techniques,2019,331,0.616,0.175,0.208,8.51
3,Pointing & Target Selection,Input & Interaction Techniques,2020,288,0.649,0.198,0.153,7.83
3,Pointing & Target Selection,Input & Interaction Techniques,2021,377,0.618,0.17,0.212,7.55
3,Pointing & Target Selection,Input & Interaction Techniques,2022,465,0.606,0.191,0.202,8.29
3,Pointing & Target Selection,Input & Interaction Techniques,2023,426,0.655,0.197,0.148,9.04
3,Pointing & Target Selection,Input & Interaction Techniques,2024,535,0.6,0.204,0.196,8.75
3,Pointing & Target Selection,Input & Interaction Techniques,2025,356,0.624,0.188,0.188,9.12
3,Pointing & Target Selection,Input & Interaction Techniques,2026,345,0.594,0.122,0.284,9.19
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,1985,1,1.0,0.0,0.0,3.0
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,1990,1,1.0,0.0,0.0,8.0
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,1991,2,0.5,0.5,0.0,1.0
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,1992,2,0.5,0.0,0.5,1.0
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,1996,1,0.0,0.0,1.0,
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,1997,2,0.0,0.5,0.5,
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,1998,2,0.5,0.5,0.0,16.0
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,1999,9,0.111,0.556,0.333,3.0
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2000,18,0.222,0.333,0.444,2.25
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2001,3,0.667,0.0,0.333,2.0
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2002,4,0.5,0.5,0.0,2.0
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2003,5,0.6,0.4,0.0,3.0
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2004,6,0.333,0.167,0.5,6.0
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2005,19,0.316,0.421,0.263,3.17
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2006,16,0.375,0.312,0.312,4.0
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2007,44,0.341,0.341,0.318,4.07
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2008,25,0.4,0.12,0.48,2.9
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2009,50,0.22,0.48,0.3,3.91
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2010,70,0.357,0.343,0.3,5.48
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2011,60,0.383,0.333,0.283,2.43
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2012,143,0.448,0.308,0.245,3.19
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2013,172,0.523,0.267,0.209,3.88
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2014,210,0.538,0.29,0.171,3.62
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2015,383,0.546,0.23,0.225,4.15
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2016,502,0.546,0.263,0.191,4.25
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2017,427,0.564,0.23,0.206,4.05
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2018,533,0.54,0.242,0.218,4.66
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2019,521,0.52,0.2,0.28,5.08
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2020,496,0.518,0.224,0.258,5.67
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2021,633,0.48,0.27,0.25,6.2
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2022,777,0.476,0.275,0.248,5.84
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2023,825,0.518,0.246,0.236,7.33
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2024,673,0.483,0.227,0.29,7.1
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2025,984,0.509,0.244,0.247,7.26
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,2026,351,0.527,0.308,0.165,6.31
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,1986,3,0.667,0.333,0.0,2.0
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,1988,1,1.0,0.0,0.0,5.0
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,1989,6,0.833,0.0,0.167,1.2
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,1990,9,0.556,0.111,0.333,1.2
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,1991,30,0.767,0.0,0.233,2.35
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,1992,37,0.703,0.081,0.216,2.58
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,1993,32,0.75,0.031,0.219,2.62
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,1994,46,0.783,0.087,0.13,2.89
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,1995,90,0.8,0.078,0.122,3.11
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,1996,59,0.712,0.119,0.169,3.48
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,1997,33,0.758,0.091,0.152,3.4
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,1998,60,0.833,0.017,0.15,4.36
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,1999,70,0.614,0.129,0.257,5.86
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2000,61,0.607,0.115,0.279,5.59
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2001,105,0.648,0.143,0.21,6.71
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2002,91,0.67,0.154,0.176,6.13
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2003,62,0.661,0.097,0.242,6.41
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2004,90,0.622,0.189,0.189,7.25
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2005,123,0.659,0.179,0.163,8.43
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2006,149,0.792,0.081,0.128,7.09
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2007,93,0.731,0.108,0.161,6.46
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2008,135,0.741,0.096,0.163,7.68
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2009,113,0.575,0.177,0.248,8.22
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2010,48,0.604,0.312,0.083,11.69
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2011,151,0.49,0.258,0.252,11.05
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2012,98,0.612,0.173,0.214,9.55
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2013,117,0.624,0.197,0.179,9.32
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2014,117,0.718,0.094,0.188,10.17
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2015,119,0.471,0.21,0.319,7.89
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2016,93,0.624,0.097,0.28,11.55
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2017,68,0.632,0.191,0.176,13.37
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2018,88,0.568,0.148,0.284,10.86
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2019,30,0.567,0.3,0.133,15.82
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2021,30,0.367,0.533,0.1,13.82
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2022,50,0.54,0.1,0.36,16.93
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2023,136,0.301,0.301,0.397,18.17
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2024,17,0.176,0.118,0.706,24.33
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2025,28,0.464,0.143,0.393,14.31
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,2026,19,0.316,0.105,0.579,17.33
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,1988,1,0.0,1.0,0.0,
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,1991,1,1.0,0.0,0.0,3.0
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,1992,6,0.333,0.5,0.167,2.5
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,1994,3,0.333,0.333,0.333,6.0
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,1995,4,0.25,0.5,0.25,1.0
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,1996,6,0.667,0.333,0.0,4.5
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,1998,7,0.0,0.857,0.143,
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,1999,9,0.333,0.667,0.0,3.67
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2000,28,0.321,0.357,0.321,5.67
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2001,5,0.0,0.2,0.8,
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2002,9,0.444,0.444,0.111,6.0
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2003,8,0.25,0.25,0.5,1.5
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2004,34,0.412,0.5,0.088,4.5
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2005,17,0.294,0.353,0.353,8.4
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2006,14,0.214,0.643,0.143,7.0
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2007,51,0.314,0.49,0.196,7.81
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2008,22,0.5,0.364,0.136,6.91
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2009,79,0.418,0.456,0.127,5.64
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2010,130,0.377,0.377,0.246,3.71
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2011,194,0.335,0.454,0.211,4.05
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2012,285,0.425,0.396,0.179,4.83
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2013,362,0.522,0.207,0.271,4.45
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2014,315,0.584,0.197,0.219,4.85
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2015,266,0.492,0.293,0.214,4.95
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2016,225,0.627,0.253,0.12,5.39
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2017,345,0.571,0.272,0.157,7.21
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2018,500,0.588,0.266,0.146,6.57
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2019,427,0.593,0.171,0.237,6.45
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2020,461,0.586,0.293,0.121,7.18
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2021,225,0.609,0.262,0.129,8.29
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2022,629,0.539,0.213,0.248,8.18
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2023,301,0.415,0.339,0.246,7.89
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2024,207,0.493,0.266,0.242,8.4
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2025,232,0.547,0.233,0.22,9.73
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,2026,144,0.549,0.167,0.285,9.97
7,Pen & Sketch Input,Input & Interaction Techniques,1990,3,0.0,0.667,0.333,
7,Pen & Sketch Input,Input & Interaction Techniques,1991,1,1.0,0.0,0.0,1.0
7,Pen & Sketch Input,Input & Interaction Techniques,1992,1,0.0,0.0,1.0,
7,Pen & Sketch Input,Input & Interaction Techniques,1993,4,0.25,0.25,0.5,2.0
7,Pen & Sketch Input,Input & Interaction Techniques,1994,10,0.3,0.2,0.5,6.33
7,Pen & Sketch Input,Input & Interaction Techniques,1995,28,0.357,0.214,0.429,1.3
7,Pen & Sketch Input,Input & Interaction Techniques,1996,12,0.583,0.167,0.25,2.86
7,Pen & Sketch Input,Input & Interaction Techniques,1997,47,0.426,0.149,0.426,3.6
7,Pen & Sketch Input,Input & Interaction Techniques,1998,56,0.518,0.179,0.304,2.79
7,Pen & Sketch Input,Input & Interaction Techniques,1999,54,0.519,0.204,0.278,2.93
7,Pen & Sketch Input,Input & Interaction Techniques,2000,100,0.36,0.29,0.35,3.78
7,Pen & Sketch Input,Input & Interaction Techniques,2001,19,0.579,0.105,0.316,4.82
7,Pen & Sketch Input,Input & Interaction Techniques,2002,12,0.833,0.167,0.0,3.5
7,Pen & Sketch Input,Input & Interaction Techniques,2003,65,0.446,0.262,0.292,4.97
7,Pen & Sketch Input,Input & Interaction Techniques,2004,76,0.434,0.289,0.276,6.09
7,Pen & Sketch Input,Input & Interaction Techniques,2005,83,0.494,0.349,0.157,6.2
7,Pen & Sketch Input,Input & Interaction Techniques,2006,145,0.414,0.331,0.255,5.67
7,Pen & Sketch Input,Input & Interaction Techniques,2007,143,0.573,0.189,0.238,6.04
7,Pen & Sketch Input,Input & Interaction Techniques,2008,177,0.475,0.294,0.232,6.3
7,Pen & Sketch Input,Input & Interaction Techniques,2009,109,0.404,0.284,0.312,5.57
7,Pen & Sketch Input,Input & Interaction Techniques,2010,171,0.497,0.228,0.275,6.19
7,Pen & Sketch Input,Input & Interaction Techniques,2011,295,0.461,0.356,0.183,7.28
7,Pen & Sketch Input,Input & Interaction Techniques,2012,281,0.512,0.203,0.285,6.26
7,Pen & Sketch Input,Input & Interaction Techniques,2013,164,0.524,0.305,0.171,5.38
7,Pen & Sketch Input,Input & Interaction Techniques,2014,223,0.493,0.265,0.242,6.54
7,Pen & Sketch Input,Input & Interaction Techniques,2015,183,0.443,0.24,0.317,7.6
7,Pen & Sketch Input,Input & Interaction Techniques,2016,180,0.45,0.339,0.211,8.96
7,Pen & Sketch Input,Input & Interaction Techniques,2017,230,0.53,0.243,0.226,9.36
7,Pen & Sketch Input,Input & Interaction Techniques,2018,114,0.553,0.351,0.096,7.41
7,Pen & Sketch Input,Input & Interaction Techniques,2019,297,0.468,0.313,0.219,9.18
7,Pen & Sketch Input,Input & Interaction Techniques,2020,231,0.433,0.251,0.316,9.43
7,Pen & Sketch Input,Input & Interaction Techniques,2021,119,0.504,0.227,0.269,12.0
7,Pen & Sketch Input,Input & Interaction Techniques,2022,262,0.435,0.202,0.363,11.76
7,Pen & Sketch Input,Input & Interaction Techniques,2023,88,0.455,0.17,0.375,8.32
7,Pen & Sketch Input,Input & Interaction Techniques,2024,106,0.66,0.132,0.208,11.09
7,Pen & Sketch Input,Input & Interaction Techniques,2025,145,0.372,0.138,0.49,10.28
7,Pen & Sketch Input,Input & Interaction Techniques,2026,26,0.423,0.462,0.115,15.82
8,Text Entry,Input & Interaction Techniques,1995,1,0.0,0.0,1.0,
8,Text Entry,Input & Interaction Techniques,1997,2,0.5,0.0,0.5,2.0
8,Text Entry,Input & Interaction Techniques,1999,10,0.3,0.3,0.4,2.67
8,Text Entry,Input & Interaction Techniques,2000,12,0.583,0.25,0.167,1.29
8,Text Entry,Input & Interaction Techniques,2001,15,0.667,0.067,0.267,2.0
8,Text Entry,Input & Interaction Techniques,2002,7,0.714,0.143,0.143,2.4
8,Text Entry,Input & Interaction Techniques,2003,27,0.704,0.185,0.111,3.32
8,Text Entry,Input & Interaction Techniques,2004,36,0.833,0.167,0.0,3.63
8,Text Entry,Input & Interaction Techniques,2005,33,0.636,0.182,0.182,3.19
8,Text Entry,Input & Interaction Techniques,2006,59,0.525,0.271,0.203,4.35
8,Text Entry,Input & Interaction Techniques,2007,36,0.611,0.194,0.194,3.95
8,Text Entry,Input & Interaction Techniques,2008,37,0.73,0.054,0.216,5.52
8,Text Entry,Input & Interaction Techniques,2009,32,0.625,0.219,0.156,6.1
8,Text Entry,Input & Interaction Techniques,2010,77,0.649,0.143,0.208,7.64
8,Text Entry,Input & Interaction Techniques,2011,80,0.65,0.188,0.163,7.65
8,Text Entry,Input & Interaction Techniques,2012,134,0.522,0.321,0.157,6.4
8,Text Entry,Input & Interaction Techniques,2013,132,0.576,0.303,0.121,6.54
8,Text Entry,Input & Interaction Techniques,2014,198,0.596,0.263,0.141,6.02
8,Text Entry,Input & Interaction Techniques,2015,248,0.661,0.274,0.065,5.75
8,Text Entry,Input & Interaction Techniques,2016,208,0.75,0.183,0.067,5.55
8,Text Entry,Input & Interaction Techniques,2017,238,0.706,0.206,0.088,6.3
8,Text Entry,Input & Interaction Techniques,2018,443,0.655,0.262,0.084,7.09
8,Text Entry,Input & Interaction Techniques,2019,453,0.691,0.232,0.077,6.66
8,Text Entry,Input & Interaction Techniques,2020,424,0.682,0.198,0.12,6.6
8,Text Entry,Input & Interaction Techniques,2021,425,0.541,0.294,0.165,6.52
